RESPONDENT_ID,StartDate,EndDate,RecordedDate,Status,Progress,durationinseconds,Finished,IPAddress,ResponseId,LocationLatitude,LocationLongitude,Meta_Info_Browser,Meta_Info_Version,Meta_Info_Operating_System,Meta_Info_Resolution,DistributionChannel,UserLanguage,RelevantIDDuplicate,RelevantIDDuplicateScore,RelevantIDFraudScore,Q_RelevantIDLastStartDate,SC0,consent,pre_informed,pre_trust_1,pre_trust_2,pre_trust_3,pre_trust_4,pre_trust_5,pre_trust_6,pre_learning_1,pre_learning_2,pre_risk_1,pre_risk_2,Media_use_1,Media_use_2,Media_use_3,Media_use_4,Media_use_5,Media_use_6,Media_use_7,Film_Clip_Instructio,source_blkwo_bright_1,source_blkwo_bright_2,source_blkwo_bright_3,source_blkwo_bright_4,source_blkwo_bright_5,source_blkwo_bright_6,view_blkwo_bright_1,view_blkwo_bright_2,view_blkwo_bright_3,source_blkwo_stancil_1,source_blkwo_stancil_2,source_blkwo_stancil_3,source_blkwo_stancil_4,source_blkwo_stancil_5,source_blkwo_stancil_6,view_blkwo_stancil_1,view_blkwo_stancil_2,view_blkwo_stancil_3,source_blkman_lyles_1,source_blkman_lyles_2,source_blkman_lyles_3,source_blkman_lyles_4,source_blkman_lyles_5,source_blkman_lyles_6,view_blkman_lyles_1,view_blkman_lyles_2,view_blkman_lyles_3,source_blkma_pyr_1,source_blkma_pyr_2,source_blkma_pyr_3,source_blkma_pyr_4,source_blkma_pyr_5,source_blkma_pyr_6,view_blkma_pyronneau_1,view_blkma_pyronneau_2,view_blkma_pyronneau_3,source_whtwo_Behrman_1,source_whtwo_Behrman_2,source_whtwo_Behrman_3,source_whtwo_Behrman_4,source_whtwo_Behrman_5,source_whtwo_Behrman_6,view_whtwo_behrman_1,view_whtwo_behrman_2,view_whtwo_behrman_3,source_whtwo_gallagh_1,source_whtwo_gallagh_2,source_whtwo_gallagh_3,source_whtwo_gallagh_4,source_whtwo_gallagh_5,source_whtwo_gallagh_6,view_whtwo_gallagher_1,view_whtwo_gallagher_2,view_whtwo_gallagher_3,source_whtman_gansky_1,source_whtman_gansky_2,source_whtman_gansky_3,source_whtman_gansky_4,source_whtman_gansky_5,source_whtman_gansky_6,view_whtman_gansky_1,view_whtman_gansky_2,view_whtman_gansky_3,source_whtman_keatin_1,source_whtman_keatin_2,source_whtman_keatin_3,source_whtman_keatin_4,source_whtman_keatin_5,source_whtman_keatin_6,view_whtman_keating_1,view_whtman_keating_2,view_whtman_keating_3,transport_david_1,transport_david_2,transport_david_3,identification_david_1,identification_david_2,identification_david_3,identification_david_4,identification_david_5,post_knowledge_david_1,post_knowledge_david_2,post_knowledge_david_3,transport_ruthie_1,transport_ruthie_2,transport_ruthie_3,identification_ruthie_1,identification_ruthie_2,identification_ruthie_3,identification_ruthie_4,identification_ruthie_5,post_knowledge_ruthie_1,post_knowledge_ruthie_2,post_knowledge_ruthie_3,post_interested,post_questions,post_interest_1,post_interest_2,post_interest_3,post_risk_1,post_risk_2,race_film_1,race_film_2,race_film_3,race_film_4,moralgrand_prestige_1,moralgrand_prestige_2,moralgrand_prestige_3,moralgrand_prestige_4,needtobelong_1,needtobelong_2,needtobelong_3,needtobelong_4,needtobelong_5,Racial_Thermometer_1,Racial_Thermometer_2,Racial_Thermometer_3,Racial_Thermometer_4,Racial_Thermometer_5,Racial_Thermometer_6,Racial_Thermometer_7,Racial_Thermometer_8,Racial_Thermometer_9,Racial_Thermometer_10,science_major,science_experience_1,science_experience_2,science_experience_3,science_experience_4,science_experience_99,science_experience_2_TEXT,science_experience_4_TEXT,born_again,recall,open_ended_TEXT,gender,age,zip,region,ethnicity,hispanic,children,division,education,employment,familial_origin,home,income,licensed_driver,marital,military_status,msa,neighborhood,political_ideology,political_party_preference,religiosity,religious_identity,sexual_orientation,state,voter_registration_usa,BLKWO_Bright_Ruthie_Science,BLKWO_Bright_Ruthie_Culture,BLKWO_Bright_David_Science,BLKWO_Bright_David_Culture,BLKWO_Stancil_Ruthie_Culture,BLKWO_Stancil_David_Science,BLKWO_Stancil_David_Culture,BLKWO_Stancil_Ruthie_Science,BLKMAN_Lyles_Ruthie_Science,BLKMAN_Lyles_Ruthie_Culture,BLKMAN_Lyles_David_Science,BLKMAN_Lyles_David_Culture,BLKMAN_Pyronneau_David_Science,BLKMAN_PYRONNEAU_Ruthie_Culture,BLKMAN_PYRONNEAU_Ruthie_Science,BLKMAN_PYRONNEAU_David_Culture,WHTMAN_Keating_David_Culture,WHTMAN_Keating_Ruthie_Culture,WHTMAN_Keating_Ruthie_Science,WHTMAN_Keating_David_Science,WHTMAN_Gansky_Ruthie_Science,WHTMAN_Gansky_Ruthie_Culture,WHTMAN_Gansky_David_Culture,WHTMAN_Gansky_David_Science,WHTWO_Gallagher_Ruthie_Science,WHTWO_Gallagher_Ruthie_Culture,WHTWO_Gallagher_David_Science,WHTWO_Gallagher_David_Culture,WHTWO_Behrman_David_Culture,WHTWO_Behrman_Ruthie_Science,WHTWO_Behrman_Ruthie_Culture,WHTWO_Behrman_David_Science,Zdurationinseconds,duration_exclude,media_use,pre_learning,pre_riskbenefit,trust_all,source_blkwo_bright_warm,source_blkwo_bright_expert,view_blkwo_bright,source_blkwo_stancil_warm,source_blkwo_stancil_expert,view_blkwo_stancil,source_blkman_lyles_warm,source_blkman_lyles_expert,view_blkman_lyles,source_blkman_pyr_warm,source_blkman_pyr_expert,view_blkman_pyr,source_whtwo_beh_warm,source_whtwo_beh_expert,view_whtwo_beh,source_whtwo_gal_warm,source_whtwo_gal_expert,view_whtwo_gal,source_whtman_gansky_warm,source_whtman_gansky_expert,view_whtman_gansk,source_whtman_keat_warm,source_whtman_keat_expert,view_whtman_keat,transport_david,identification_david,transport_ruthie,identification_ruthie,post_interest_all,post_riskbenefit,race_film_all,moral_all,need_all,postknowledge_david_1_scored,postknowledge_david_2_scored,postknowledge_david_3_scored,david_knowledge_score,postknowledge_ruthie_1_scored,postknowledge_ruthie_2_scored,postknowledge_ruthie_3_scored,ruthie_knowledge_score,nonmale,female,ethnicity_white,ethnicity_black,poli3,science_experience_score,condition,alb,sci_gend_f,sci_race_blk,intro_sci,warm,expert,Zruthie_knowledge_score,Zdavid_knowledge_score,knowledge
 ,12/25/2022 11:29:49,12/25/2022 11:50:18,12/25/2022 11:50:18,0,100,1228,1,45.36.97.80,R_TuBzDJVHWuCZFpn,36.1287,-79.4086,Safari iPhone,16.1,iPhone,320x568,anonymous,EN, ,0,0,10/14/1582 0:00:00,40,1,1,5,5,5,3,1,3,6,3,3,7,2,1,1,1,2,3,3,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,3,4,3,3,3,5,5,6,7,4,6,7,3,7,2,1,2,-2, , , , , , , , , , , ,3,2,2,4,1,5,7,7,3,1,7,5,2,1,4,3,2,2,1,4,80,60,80,20,100,50,100,90,70,10,1,1,1,1, , ,Science-related field of statistics,-99,0,6,-99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , ,-.19129350928736,1,1.85714285714286,4.5,5,3.66666666666667, , , , , , , , , , , , , , , , , , , , , ,2.66666666666667,3.33333333333333,4.33333333333333,5.66666666666667,5, , ,2.33333333333333,6,4.5,3,2.4,1,1,1,3, , , , , , , , , ,3,30,0,0,0,1,2.66666666666667,3.33333333333333, ,.820640847587717,.820640847587717
iP00b20c81758b8cee,12/22/2022 22:47:01,12/22/2022 23:37:56,12/22/2022 23:37:57,0,100,3055,1,67.161.99.50,R_3DvdOD8FOS7Qyrd,47.3798,-122.2893,Safari iPhone,16.1,iPhone,375x667,anonymous,EN, ,0,0,10/14/1582 0:00:00,39,1,1,2,2,4,2,2,2,2,5,4,5,2,1,2,1,3,1,2,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,6,6,6,6,5,7,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,7,4,5,5,7,6,4,1,2,99,1,1,4,3,4,6,6,7,7,6,5,7,7,5,7,3,5,3,1,1,100,90,70,80,60,70,100,60,80,100,2,1, , , , ,-99,-99,0,-99,-99,2,56,98003,4,2,2,2,9,4,2,2,1,1,1,4,1,7602,2,6,4,5,99,1,WA,2, , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , ,.271931571899041,1,1.71428571428571,3.5,4.5,2.33333333333333, , , , , , , , , , , , , , , ,6,6,6, , , , , , , , ,5.33333333333333,5.4,3.66666666666667,6,6.25,6.5,2.6, , , , ,1,1,0,2,1,1,0,1,3,1,17,1,1,0,1,6,6,-.667059981365215, ,-.667059981365215
iP00e00801368b034e,12/23/2022 11:19:12,12/23/2022 11:40:59,12/23/2022 11:40:59,0,100,1306,1,23.113.18.131,R_1F4iAyzXp13sSDT,34.0258,-83.3856,Chrome iPhone,108.0.5359.112,iPhone,375x667,anonymous,EN, ,0,0,10/14/1582 0:00:00,65,1,4,3,3,4,3,2,2,7,7,5,6,3,4,3,2,5,5,5,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,6,6,6,6,7,7,7, , , , , , , , , , , , , , , , , , , , ,7,7,7,7,7,5,7,7,2,2,2,5,5,7,7,7,5,6,7,4,4,4,7,7,7,7,5,5,5,4,5,100,100,50,100,100,50,100,100,100,50,2,1, , , , ,-99,-99,1,5,"My ex husbands cousin has albinism and I’ve always wondered the proper medical diagnosis for her condition. Now after watching this amazing and heart warming video I’ve been informed on a lot of things. Which has now lead me to further educate myself on the diagnosis, and now a lot of other scientific genes etc. Thank you so much for the educational clip.",2,32,30635,3,1,2, ,5,2,2, , ,2, , , , , ,7,7, ,1, ,GA,1, , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , ,-.171517069039665,1,3.85714285714286,7,5.5,2.83333333333333, , , , , , , , , , , , , , , , , , ,6,6,7, , , , , ,7,6.6,7,5.5,4.75,7,4.8, , , , ,1,1,1,3,1,1,1,0,3,1,27,1,0,0,1,6,6,.578654441666222, ,.578654441666222
iP00eb0cb673d9dcaa,12/21/2022 12:30:12,12/21/2022 12:42:46,12/21/2022 12:42:46,0,100,753,1,172.58.6.158,R_vSmyeYnnkiNhYQN,33.7315,-84.4195,Safari iPhone,16.2,iPhone,390x844,anonymous,EN, ,0,0,10/14/1582 0:00:00,45,1,2,2,4,2,2,3,3,5,4,5,3,4,4,3,2,2,2,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,6,4,5,6,6,5,7,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,6,5,7,6,6,7,6,1,2,-1, , , , , , , , , , , ,3,2,6,7,5,5,4,7,5,6,6,6,5,3,3,5,3,4,2,2,100,70,30,70,70,70,90,70,100,20,0,1, , , , ,-99,-99,0,1,-99,1,44,85139,4,2,2,1,8,7,1,6,4,5,1,1,1,6200,2,4,6,5,6,1,AZ,1, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,-.311726959513709,1,3,4.5,4,2.66666666666667, , , , , , , , , ,5,5.66666666666667,6.33333333333333, , , , , , , , , , , , ,5,6.4, , ,6,4.5,6,4.25,3.2,1,1,1,3, , , , ,0,0,0,1,2,1,16,0,0,1,1,5,5.66666666666667, ,.820640847587717,.820640847587717
iP0104ee8d5531fa38,12/22/2022 15:49:44,12/22/2022 16:12:09,12/22/2022 16:12:10,0,100,1345,1,216.114.37.89,R_3s0wVtmnYXPrIeD,32.48,-96.9905,Chrome,108.0.0.0,Android 12,360x800,anonymous,EN, ,0,0,10/14/1582 0:00:00,35,1,1,1,1,1,1,2,1,1,6,4,1,1,1,1,1,1,1,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4,2,6,3,6,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,4,4,4,1,1,99,99,1,1,4,4,4,4,4,4,1,4,1,4,4,1,1,1,3,3,3,3,0,60,0,40,60,60,70,60,0,0,2, , , , ,1,-99,-99,1,8,It didn't make sense to me so I have no opinion,2,74,76084,3,1,2,2,7,2,3,5,4,1,1,4,1,1922,3,4,7,5,99,99,TX,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,-.161628848915817,1,1,3.5,2.5,1.16666666666667, , , , , , , , , , , , ,3,5,4, , , , , , , , , , , ,1,2.8,4,4,2.5,2.5,2.6, , , , ,1,0,0,1,1,1,1,0,2, ,19,1,1,0,0,3,5,-1.91277440439665, ,-1.91277440439665
iP012ac0042a8b3147,12/23/2022 5:30:58,12/23/2022 5:48:47,12/23/2022 5:48:47,0,100,1068,1,67.81.153.26,R_1hL147ZpiFRwWSb,40.6627,-73.9138,Chrome,108.0.0.0,Android 8.0.0,360x640,anonymous,EN, ,0,0,10/14/1582 0:00:00,70,1,4,4,4,5,3,3,4,7,7,7,6,5,5,4,5,5,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,6,5,6,6,6,7,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,7,7,7,6,6,6,1,1,2,5,3,7,6,7,6,7,7,7,6,7,6,6,6,6,5,4,1,1,1,100,20,100,10,100,100,100,90,80,10,0,1, , , , ,-99,-99,0,4,Great survey,1,48,11238,1,2,2,1,2,6,1,4,4,4,1,3,3,5602,1,3,2,4,1,1,NY,1, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,-.231860566205709,1,4.57142857142857,7,6.5,3.83333333333333, , , , , , , , , ,6,5.66666666666667,6.66666666666667, , , , , , , , , , , , , , ,6.33333333333333,6.4,6.66666666666667,6.5,6.75,6,2.4, , , , ,1,1,1,3,0,0,0,1,1,1,12,1,0,1,1,6,5.66666666666667,.578654441666222, ,.578654441666222
iP0139591393831f48,12/21/2022 11:24:12,12/21/2022 11:49:12,12/21/2022 11:49:13,0,100,1500,1,172.58.85.55,R_efH8E1z1Ya8e7NT,44.8769,-93.2535,Chrome,108.0.0.0,Android 11,412x915,anonymous,EN, ,0,0,10/14/1582 0:00:00,63,1,3,4,4,5,3,3,4,5,6,6,6,4,4,3,3,5,4,3,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,5,6,6,6,7,7,7, , , , , , , , , , , ,6,7,4,7,7,6,6,5,2,1,2,5,2,7,6,6,7,7,7,6,6,5,7,7,7,7,4,5,4,3,3,80,90,90,90,90,90,90,90,90,70,0, , , , ,1,-99,-99,1,6,I enjoyed learning something new and I will be researching more about it. Great survey,1,41,52317,2,1,2,2,4,2,1,4,3,3,1,4,1,3500,2,5,7,5,1,1,IA,2, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , ,-.122329512526166,1,3.71428571428571,5.5,6,3.83333333333333, , , , , , , , , , , , , , , , , , , , , ,5.66666666666667,6,7, , ,5.66666666666667,6.2,6.33333333333333,7,6,7,3.8, , , , ,1,1,1,3,0,0,1,0,3, ,25,1,0,0,0,5.66666666666667,6,.578654441666222, ,.578654441666222
iP015aa55dab1da0ca,12/23/2022 10:57:22,12/23/2022 11:18:03,12/23/2022 11:18:04,0,100,1241,1,47.189.36.164,R_pEliQs4PkykmAJX,32.9346,-96.5544,Chrome,108.0.0.0,Android 11,384x854,anonymous,EN, ,0,0,10/14/1582 0:00:00,48,1,2,3,3,4,4,2,3,6,7,6,5,3,2,1,2,2,2,3,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4,3,3,3,4,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,4,4,6,6,4,7,4,1,2,-1, , , , , , , , , , , ,3,4,4,4,4,7,7,7,1,2,6,6,6,4,6,3,3,2,2,2,50,50,50,0,50,50,50,40,50,50,0,1, , , , ,-99,-99,0,6,I believe in genetic editing.,2,64,75088,3,1,2, ,7,7,3, , ,4, , , ,1922, ,3,2, ,1, ,TX,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , ,-.187997435912744,1,2.14285714285714,6.5,5.5,3.16666666666667, , , , , , , , , , , , ,4,3,4.66666666666667, , , , , , , , , ,4.33333333333333,5.4, , ,4,7,4,5.5,2.4,1,1,1,3, , , , ,1,1,1,0,1,1,23,0,1,0,0,4,3, ,.820640847587717,.820640847587717
iP01677d3c88e4e669,12/19/2022 15:32:55,12/19/2022 15:52:04,12/19/2022 15:52:04,0,100,1148,1,72.221.102.166,R_3e4W2EzkD4epaXr,41.519,-71.162,Chrome,108.0.0.0,Windows NT 10.0,1600x900,anonymous,EN, ,0,0,10/14/1582 0:00:00,58,1,2,4,3,4,5,1,2,7,7,7,7,4,4,1,3,3,2,5,4, , , , , , , , , ,5,5,5,4,5,5,3,7,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,6,5,4,3,5,2,1,2,2,3,2,5,4,4,7,5,4,3,5,5,3,3,4,5,5,5,4,1,2,50,70,60,20,80,70,60,80,20,20,0,1, , , , ,-99,-99,0,2,Curious about the long term effects of selective gene editing. What traits might be lost?,1,75,2837,1,1,2,2,1,6,3,3,4,5,1,3,3,6480,3,3,2,1,99,1,RI,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,-.211577037746534,1,3.14285714285714,7,7,3.16666666666667, , , , , , , , , , , , , , , , , , , , , , , , , , ,6,3.8,4.33333333333333,6,4.25,3.75,3.4, , , , ,1,1,1,3,0,0,1,0,1,1,7,1,1,1,1,0,0,.578654441666222, ,.578654441666222
iP01751b6417e2e115,12/22/2022 16:56:02,12/22/2022 17:16:19,12/22/2022 17:16:19,0,100,1217,1,174.206.108.231,R_2chWXbi5pD89OKi,37.3392,-77.4175,Chrome,108.0.0.0,Android 11,360x720,anonymous,EN, ,0,0,10/14/1582 0:00:00,52,1,3,4,4,3,3,3,3,4,4,4,4,3,4,3,4,3,3,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,99,99,99, , , , , , , , , , , ,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,50,50,50,50,50,50,50,50,50,50,0, , , , ,1,-99,-99,0,6,None,2,40,23454,3,2,2,2,5,6,1,4,3,1,2,1,1,5720,1,4,98,4,99,1,VA,2, , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , ,-.194082494450496,1,3.42857142857143,4,4,3.33333333333333, , , , , , , , , , , , , , , , , , , , , ,3,3,4,4,4, , ,4,4,4,4,3,0,0,0,0, , , , ,1,1,0,1,2, ,30,0,0,0,1,3,3, ,-2.82434564082232,-2.82434564082232
